ID,word,PoS,COCA-All,COCA-Acad,ratio,disp,range,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS
81,century,n,70434,33736,"1,68","0,93",7,7341,889,5744,3021,5904,4578,5079,534,646,"1,83","0,39","1,22","0,88","1,92","1,27","0,79","0,20","0,18"
82,strategy,n,53585,33515,"2,19","0,94",9,4726,6589,6516,2783,2376,1719,4464,2753,1589,"1,18","2,90","1,39","0,82","0,78","0,48","0,70","1,03","0,45"
83,theory,n,49179,33143,"2,36","0,94",8,2645,3470,5713,3771,4901,4170,7108,1056,309,"0,67","1,54","1,24","1,12","1,62","1,18","1,13","0,40","0,09"
84,product,n,75627,33132,"1,53","0,91",9,2379,1204,2579,3297,1770,1071,12256,4092,4484,"0,60","0,54","0,56","0,98","0,59","0,30","1,95","1,54","1,29"
85,method,n,46594,33105,"2,49","0,93",8,2215,5344,5782,1552,2117,2880,8003,4851,361,"0,56","2,38","1,25","0,46","0,70","0,82","1,28","1,83","0,10"
86,goal,n,64791,33049,"1,79","0,95",9,3282,5483,6848,2937,3016,2754,4966,2748,1015,"0,83","2,45","1,49","0,87","1,00","0,78","0,79","1,04","0,29"
87,likely,j,68503,32958,"1,68","0,94",9,3059,3456,7986,3523,1373,3157,5550,3572,1282,"0,78","1,55","1,74","1,05","0,46","0,90","0,89","1,35","0,37"
88,note,v,61602,32829,"1,87","0,96",9,3744,3270,5722,3663,3340,3236,6225,2790,839,"0,96","1,47","1,25","1,10","1,12","0,93","1,00","1,06","0,24"
89,represent,v,63269,32705,"1,81","0,94",8,4128,2823,5728,3045,5654,2863,6256,1707,501,"1,06","1,27","1,26","0,91","1,90","0,82","1,01","0,65","0,15"
90,general,j,67115,31754,"1,66","0,96",9,4030,3622,5003,4268,3137,2971,5258,2423,1042,"1,07","1,68","1,13","1,32","1,09","0,88","0,87","0,95","0,31"
91,article,n,59688,31513,"1,85","0,95",8,4358,3404,4615,4178,3358,3362,5550,2201,487,"1,16","1,59","1,05","1,30","1,17","1,00","0,93","0,87","0,15"
92,similar,j,57942,31385,"1,90","0,94",9,3193,2902,6195,2521,2750,2802,7085,3177,760,"0,85","1,36","1,42","0,79","0,96","0,84","1,19","1,26","0,23"
93,environment,n,52292,31116,"2,08","0,92",8,2356,4715,5437,2923,1636,2096,9002,2470,481,"0,64","2,24","1,25","0,92","0,58","0,63","1,53","0,99","0,15"
94,language,n,60966,31095,"1,79","0,93",8,4360,5883,4226,2265,6871,4386,2197,614,293,"1,18","2,79","0,97","0,72","2,43","1,32","0,37","0,25","0,09"
95,determine,v,55918,31067,"1,95","0,94",8,2304,4311,5787,3066,1785,2122,7359,3768,565,"0,62","2,05","1,34","0,97","0,63","0,64","1,25","1,51","0,17"
96,structure,n,46918,30887,"2,31","0,93",8,3503,2345,4657,2381,4143,2922,9034,1510,392,"0,95","1,12","1,08","0,76","1,47","0,89","1,54","0,61","0,12"
97,section,n,52717,30856,"2,05","0,91",9,2116,2111,2653,8895,2413,1465,7478,2748,977,"0,58","1,01","0,62","2,83","0,86","0,45","1,28","1,11","0,30"
98,common,j,60391,30755,"1,78","0,96",9,3597,2193,4730,3708,2552,3809,5595,3883,688,"0,98","1,05","1,10","1,18","0,91","1,16","0,96","1,58","0,21"
99,occur,v,56157,30702,"1,91","0,94",8,2648,2750,5070,2273,2416,2705,7850,4705,285,"0,72","1,32","1,18","0,73","0,86","0,83","1,35","1,91","0,09"
100,current,j,64144,30626,"1,67","0,94",9,3326,3762,5614,3206,1501,2432,7028,2451,1306,"0,91","1,81","1,31","1,03","0,54","0,75","1,21","1,00","0,41"
101,available,j,68535,30610,"1,56","0,92",9,2229,2625,4305,2426,2087,1826,9922,4181,1009,"0,61","1,27","1,01","0,78","0,75","0,56","1,71","1,71","0,31"
102,present,v,53923,30357,"1,97","0,95",8,3439,3852,5340,2122,4011,3150,4886,3263,294,"0,95","1,87","1,26","0,69","1,45","0,97","0,85","1,34","0,09"
103,term,n,65194,29927,"1,61","0,95",9,4958,1851,4887,4427,4459,3697,3501,1071,1076,"1,39","0,91","1,17","1,45","1,64","1,16","0,62","0,45","0,34"
104,reduce,v,62024,29853,"1,69","0,92",9,2848,1584,4059,3202,1026,1823,8865,5373,1073,"0,80","0,78","0,98","1,05","0,38","0,57","1,57","2,25","0,34"
105,measure,n,47778,29534,"2,16","0,93",8,2393,4525,8032,3258,1016,3175,3849,2905,381,"0,68","2,26","1,95","1,08","0,38","1,01","0,69","1,23","0,12"
106,involve,v,64076,29330,"1,60","0,96",8,3202,3483,4934,3312,2507,3477,4922,2943,550,"0,92","1,75","1,21","1,11","0,94","1,11","0,89","1,25","0,18"
107,movement,n,60998,29315,"1,68","0,93",8,6780,1383,5364,3251,3455,4018,3170,1716,178,"1,94","0,70","1,31","1,09","1,29","1,29","0,57","0,73","0,06"
108,specific,j,45441,28840,"2,22","0,95",8,2527,4460,6147,2118,3366,2327,4750,2726,419,"0,74","2,28","1,53","0,72","1,28","0,76","0,87","1,18","0,14"
109,focus,v,63922,28692,"1,57","0,95",9,3224,3937,5838,2291,2810,2607,4788,2216,981,"0,94","2,02","1,46","0,78","1,08","0,85","0,88","0,96","0,33"
110,region,n,54996,28595,"1,82","0,90",8,6705,669,5167,2840,1423,943,8654,1735,459,"1,97","0,35","1,30","0,98","0,55","0,31","1,60","0,76","0,15"
111,relate,v,42517,28592,"2,35","0,93",8,2130,4874,7675,1745,2560,3157,3828,2438,185,"0,63","2,52","1,93","0,60","0,98","1,04","0,71","1,06","0,06"
112,individual,j,45641,28495,"2,19","0,95",9,2734,4203,5891,2537,2806,2983,4541,2121,679,"0,81","2,18","1,48","0,87","1,08","0,98","0,84","0,93","0,23"
113,quality,n,56213,28155,"1,75","0,94",9,1563,3639,4554,2031,3185,1933,6370,3688,1192,"0,47","1,91","1,16","0,71","1,24","0,64","1,19","1,64","0,40"
114,establish,v,48831,27926,"2,00","0,95",8,5067,2666,4499,3918,2792,2266,4378,1893,447,"1,52","1,41","1,16","1,38","1,10","0,76","0,83","0,85","0,15"
115,author,n,64403,27714,"1,51","0,96",9,2926,2367,3768,1863,4189,3470,4419,4044,668,"0,89","1,26","0,98","0,66","1,66","1,18","0,84","1,82","0,23"
116,seek,v,63168,27629,"1,53","0,95",9,5096,2038,4305,4609,2667,4241,2902,1121,650,"1,55","1,09","1,12","1,64","1,06","1,44","0,55","0,51","0,22"
117,compare,v,52111,27616,"1,86","0,93",9,1982,3309,6330,1400,1506,1846,6091,4018,1134,"0,60","1,77","1,64","0,50","0,60","0,63","1,16","1,82","0,39"
118,growth,n,54725,27328,"1,75","0,95",9,4246,2038,3532,3121,897,1434,5305,1985,4770,"1,31","1,10","0,93","1,12","0,36","0,49","1,02","0,91","1,67"
119,natural,j,59811,27263,"1,60","0,91",8,2411,895,3070,3150,1919,3265,9458,2551,544,"0,74","0,48","0,81","1,13","0,77","1,12","1,83","1,17","0,19"
120,various,j,49937,27132,"1,90","0,95",8,3608,2615,4800,2382,3124,2624,5521,2068,390,"1,12","1,42","1,27","0,86","1,26","0,91","1,07","0,95","0,14"
121,standard,n,53927,26890,"1,75","0,94",9,2239,3413,3342,4934,3483,1474,5420,1799,786,"0,70","1,87","0,89","1,80","1,42","0,51","1,06","0,84","0,28"
122,example,n,51042,26843,"1,84","0,95",9,3070,2407,3697,2617,4897,2959,5264,1337,595,"0,96","1,32","0,99","0,96","2,00","1,03","1,03","0,62","0,21"
123,management,n,48738,26648,"1,91","0,92",8,1631,2461,3042,2708,457,776,8726,4061,2786,"0,51","1,36","0,82","1,00","0,19","0,27","1,73","1,90","1,00"
124,scale,n,37307,26610,"2,50","0,91",8,1000,3935,7763,755,1140,3741,5939,2007,330,"0,32","2,18","2,09","0,28","0,47","1,32","1,18","0,94","0,12"
125,argue,v,54947,26358,"1,68","0,94",8,5080,1115,4331,4819,2987,3998,2972,529,527,"1,62","0,62","1,18","1,80","1,24","1,42","0,59","0,25","0,19"
126,degree,n,54725,26200,"1,68","0,94",8,2138,4670,4597,1776,1656,2048,6018,2814,483,"0,69","2,63","1,26","0,67","0,69","0,73","1,21","1,34","0,18"
127,design,n,52946,26112,"1,73","0,86",9,1014,2105,2683,946,2067,783,13398,2012,1104,"0,33","1,19","0,74","0,36","0,87","0,28","2,71","0,96","0,40"
128,concern,n,59719,25937,"1,52","0,95",8,3715,2906,4852,3634,1878,3146,3757,1644,405,"1,20","1,65","1,34","1,38","0,80","1,14","0,76","0,79","0,15"
129,state,v,52092,25860,"1,74","0,95",8,3935,3425,4220,5147,1998,2385,2984,1351,415,"1,28","1,95","1,17","1,95","0,85","0,87","0,61","0,65","0,15"
130,therefore,r,38371,25808,"2,36","0,95",8,3044,2575,4725,2944,2499,3069,4332,2354,266,"0,99","1,47","1,31","1,12","1,06","1,12","0,89","1,14","0,10"
